url,loaded_url,source,target,method,fixed,varaible,match
https://wise.com/gb/pricing/send-money?source=EUR&target=EUR&payInMethod=VISA_DEBIT_OR_PREPAID&targetAmount=1000,https://wise.com/gb/pricing/send-money?source=EUR&target=EUR&payInMethod=VISA_DEBIT_OR_PREPAID&targetAmount=1000,EUR,EUR,VISA_DEBIT_OR_PREPAID,0.41,0.41%,test
https://wise.com/gb/pricing/send-money?source=EUR&target=EUR&payInMethod=SWIFT&targetAmount=1000,https://wise.com/gb/pricing/send-money?source=EUR&target=EUR&payInMethod=BANK_TRANSFER&targetAmount=1000,EUR,EUR,BANK_TRANSFER,0.41,0%,test
https://wise.com/gb/pricing/send-money?source=EUR&target=EUR&payInMethod=BANK_TRANSFER&targetAmount=1000,https://wise.com/gb/pricing/send-money?source=EUR&target=EUR&payInMethod=BANK_TRANSFER&targetAmount=1000,EUR,EUR,BANK_TRANSFER,0.41,0%,test
https://wise.com/gb/pricing/send-money?source=EUR&target=GBP&payInMethod=VISA_DEBIT_OR_PREPAID&targetAmount=1000,https://wise.com/gb/pricing/send-money?source=EUR&target=GBP&payInMethod=VISA_DEBIT_OR_PREPAID&targetAmount=1000,EUR,GBP,VISA_DEBIT_OR_PREPAID,0.50,0.82%,test
https://wise.com/gb/pricing/send-money?source=EUR&target=GBP&payInMethod=SWIFT&targetAmount=1000,https://wise.com/gb/pricing/send-money?source=EUR&target=GBP&payInMethod=BANK_TRANSFER&targetAmount=1000,EUR,GBP,BANK_TRANSFER,0.50,0.41%,test
https://wise.com/gb/pricing/send-money?source=EUR&target=GBP&payInMethod=BANK_TRANSFER&targetAmount=1000,https://wise.com/gb/pricing/send-money?source=EUR&target=GBP&payInMethod=BANK_TRANSFER&targetAmount=1000,EUR,GBP,BANK_TRANSFER,0.50,0.41%,test
https://wise.com/gb/pricing/send-money?source=EUR&target=INR&payInMethod=VISA_DEBIT_OR_PREPAID&targetAmount=1000,https://wise.com/gb/pricing/send-money?source=EUR&target=INR&payInMethod=VISA_DEBIT_OR_PREPAID&targetAmount=1000,EUR,INR,VISA_DEBIT_OR_PREPAID,0.51,0.92%,test
https://wise.com/gb/pricing/send-money?source=EUR&target=INR&payInMethod=SWIFT&targetAmount=1000,https://wise.com/gb/pricing/send-money?source=EUR&target=INR&payInMethod=BANK_TRANSFER&targetAmount=1000,EUR,INR,BANK_TRANSFER,0.51,0.51%,test
https://wise.com/gb/pricing/send-money?source=EUR&target=INR&payInMethod=BANK_TRANSFER&targetAmount=1000,https://wise.com/gb/pricing/send-money?source=EUR&target=INR&payInMethod=BANK_TRANSFER&targetAmount=1000,EUR,INR,BANK_TRANSFER,0.51,0.51%,test
https://wise.com/gb/pricing/send-money?source=EUR&target=USD&payInMethod=VISA_DEBIT_OR_PREPAID&targetAmount=1000,https://wise.com/gb/pricing/send-money?source=EUR&target=USD&payInMethod=VISA_DEBIT_OR_PREPAID&targetAmount=1000,EUR,USD,VISA_DEBIT_OR_PREPAID,0.58,0.82%,test
